"X","Y","ID","0to15cm"
151.87695,-25.63249,1561,0.00633976491020019
151.21732,-25.48636,1311,0.019460454984909
147.45428,-23.69484,4091,0.0359375914304942
151.91826,-27.76375,6521,0.00545890885756169
146.56406,-22.35612,4371,0.0211874626749166
151.62285,-25.58566,271,0.042147971276684
145.57438,-17.21884,4461,0.00941491391503914
145.45117,-26.04845,51,0.0291617996146337
146.65791,-19.29447,2881,0.04423539376535
147.08943,-19.83579,2171,0.0320915608521762
152.18424,-24.73729,2681,0.0487163249767052
152.4003,-27.21484,2191,0.0133749324658981
147.75915,-20.54902,4391,0.0440738525960934
145.52551,-17.21616,6631,0.0205959272528655
146.25843,-19.92144,201,0.0259067061235006
145.65116,-26.09835,3841,0.0239863909775824
145.53449,-23.94837,3941,0.0318568535075101
153.38021,-28.08144,3711,0.0361591935346587
145.85522,-19.69039,3341,0.0210849148720948
147.01198,-19.73903,4041,0.0078475744620801
151.8473,-26.20486,901,0.0238034552942516
151.41759,-27.156,6821,0.0280155146959722
152.99804,-26.86552,991,0.0176349713926714
152.61805,-27.95459,6191,0.0100524785614509
153.03617,-26.47964,3951,0.0172208975080767
146.53516,-19.88449,5011,0.0296273309303468
151.50954,-27.65936,4561,0.0146366070709101
148.51142,-20.44832,3171,0.0498445556065877
149.83829,-22.82853,1161,0.027195412669641
153.24377,-27.60843,6531,0.052935567613059
153.10343,-27.77359,2701,0.0156952733746188
150.49932,-26.77583,3181,0.048704015340504
151.91112,-28.17259,1361,0.0237289970217145
145.69466,-27.86442,4601,0.0554716897521247
152.57877,-26.8122,8921,0.053954604504539
150.62548,-28.51181,471,0.0264575407879959
149.41575,-28.20475,4181,0.0230874582372743
147.45412,-23.69328,4092,0.0446419373493684
151.91826,-27.76375,6522,0.00614934011452175
146.57382,-22.34259,4372,0.0338605406145222
151.41714,-25.60955,272,0.0462346532478798
145.48549,-17.16481,4462,0.015976625960829
144.50118,-26.24846,52,0.0302482536798781
152.60823,-25.78526,912,0.0289947400413626
146.67219,-19.31669,2882,0.0410015786906664
149.19314,-21.2018,2482,0.00622693814724093
151.84974,-25.70378,1222,0.0311466229927303
147.17065,-19.87757,2172,0.0365999551677119
152.26611,-24.77113,2682,0.0192504685826254
152.39353,-27.17689,2192,0.0170316249315835
147.76277,-20.54367,4392,0.0452078187192909
145.75117,-26.01502,3842,0.0265540291767072
147.00701,-19.73397,4042,0.0357335165849655
142.45207,-22.72505,1152,0.013649970939045
151.87791,-26.21649,902,0.0237901104866455
144.44897,-15.56713,3902,0.0346468624250932
150.40388,-23.54231,2582,0.0258352324943903
151.4353,-26.82492,6822,0.0434129722449434
153.00101,-26.86117,992,0.0376638392129357
152.32857,-27.54248,6192,0.0489017354218546
150.14483,-26.88145,5462,0.034383010322996
146.71861,-20.00693,5012,0.0309798066877838
151.3421,-27.73248,4562,0.00641795640482488
148.52818,-20.4481,3172,0.0240028230086535
149.84067,-22.83066,1162,0.026593718058862
153.30613,-27.6205,6532,0.0231403538053491
150.6731,-26.75849,3182,0.0292241854380287
151.92694,-28.22055,1362,0.0173145525275323
145.69441,-27.86458,4602,0.043735525246724
152.5833,-26.82497,8922,0.0506901584033135
151.68444,-27.94803,462,0.0340814924498474
149.41873,-28.20537,4182,0.023021466156686
151.18149,-25.48773,1313,0.0250769964416721
147.45655,-23.69466,4093,0.0367066690518349
151.79933,-26.89167,4323,0.00470452204162796
151.91826,-27.76375,6523,0.00424680456244819
146.5544,-22.34073,4373,0.0276470771736061
145.31458,-17.66043,4463,0.0133166864428733
144.50118,-26.26513,53,0.0376525332082413
146.67991,-19.29664,2883,0.047563538599848
149.19014,-21.20136,2483,0.0120046086352814
147.13722,-19.88501,2173,0.0402174693714508
152.26402,-24.79008,2683,0.0303800339468898
147.75837,-20.54577,4393,0.0392146809431685
147.87849,-20.82705,4133,0.0347255406847151
146.00116,-26.03168,3843,0.0331083787868711
153.34295,-27.98305,3713,0.0387323315764398
147.0074,-19.73433,4043,0.0432285306742299
144.43986,-15.56381,3903,0.0571660501256434
143.37039,-13.08319,2623,0.0364364359138873
151.03371,-26.77659,6823,0.0289953268576669
152.8261,-26.77574,993,0.00601650467684392
